x,y_0_5,y_1_0,y_1_5,y_2_0,y_2_5,y_3_0,y_3_5,y_4_0,y_8_0
-2.4074074074074074,0.05297810371724133,0.04502422557453332,0.013218698558661847,0.0017156292291951856,7.007808782566188e-05,4.882926066513202e-07,2.2035206700695282e-10,1.4258966581440536e-15,0.0
-2.3973973973973974,0.05314945196344749,0.04547718178915918,0.013529942346810868,0.0018001609093852512,7.69222058727905e-05,5.807001433518518e-07,3.0146091538006794e-10,2.484274437177271e-15,0.0
-2.3873873873873874,0.05332171424054284,0.045934694869111434,0.013847842464172411,0.0018884791046764509,8.438563955925606e-05,6.896008065115509e-07,4.1108485418666356e-10,4.2984288759905e-15,0.0
-2.3773773773773774,0.053494898112623014,0.046396810657720916,0.014172522646825985,0.001980733323598151,9.251948789736667e-05,8.177494198155697e-07,5.587626387255252e-10,7.386583060575474e-15,0.0
-2.3673673673673674,0.05366901123321134,0.04686357545951511,0.01450410842579333,0.00207707797014832,0.00010137859801728838,9.683269043889271e-07,7.570550983350733e-10,1.2607413552399683e-14,0.0
-2.3573573573573574,0.05384406134666481,0.047335036044857906,0.014842727139198408,0.002177672456175563,0.00011102179858753684,1.1450003943096045e-06,1.0224466795202942e-09,2.137380222009438e-14,0.0
-2.3473473473473474,0.05402005628960788,0.04781123965463603,0.015188507944077256,0.0022826813141005415,0.00012151214432825274,1.351990908129785e-06,1.3764983274178508e-09,3.599445856075588e-14,0.0
-2.3373373373373374,0.054197003992394834,0.04829223400499268,0.015541581827820885,0.002392274309854652,0.00013291717187262,1.5941493878788604e-06,1.8473165231399768e-09,6.021603669931838e-14,0.0
-2.3273273273273274,0.05437491248060118,0.048778067292108686,0.015902081619233253,0.0025066265559072765,0.00014530916721525953,1.8770419848808008e-06,2.471418533322175e-09,1.000773603417444e-13,0.0
-2.3173173173173174,0.05455378987654537,0.049268788197031836,0.016270141999186822,0.002625918624246941,0.00015876544496762682,2.2070455427036807e-06,3.296092359927036e-09,1.6524603613870455e-13,0.0
-2.3073073073073074,0.054733644400840775,0.0497644458905548,0.016645899510856856,0.0027503366591749463,0.0001733686396192819,2.59145430146981e-06,4.382372075930729e-09,2.7109535261039674e-13,0.0
-2.2972972972972974,0.0549144843739792,0.05026509003814208,0.01702949256951623,0.0028800724897638024,0.00018920700898025444,3.038598924330004e-06,5.808775849496273e-09,4.419092390241843e-13,0.0
-2.2872872872872874,0.05509631821794665,0.05077077080490651,0.01742106147187112,0.0030153237418261147,0.00020637474995355187,3.5579790258193258e-06,7.675985736347915e-09,7.157941531752395e-13,0.0
-2.2772772772772774,0.05527915445787204,0.051281538860635946,0.017820748404918336,0.0031562939492329203,0.00022497232675801638,4.160410462667144e-06,1.0112686091163e-08,1.1521558585247187e-12,3.92145364e-315
-2.2672672672672673,0.05546300172370956,0.051797445384870335,0.018228697454304187,0.003303192664413899,0.000245106811690202,4.8581887299597125e-06,1.3282822145970301e-08,1.8430036655148288e-12,2.9605618152920286e-304
-2.2572572572572573,0.055647868751955855,0.052318542072030044,0.018645054612164345,0.00345623556786507,0.0002668922384795929,5.6652698887956255e-06,1.739459296092741e-08,2.9299270095853355e-12,1.0429474612969436e-293
-2.2472472472472473,0.055833764387402444,0.05284488113659565,0.019069967784424147,0.003615644576482882,0.00029044996825430277,6.597470535096774e-06,2.2711554708829035e-08,4.6294211362569e-12,1.7489800469906678e-283
-2.2372372372372373,0.056020697584924964,0.05337651531833991,0.019503586797537945,0.0037816479505368553,0.00031590906809429253,7.672688402312899e-06,2.9566282351938506e-08,7.270418515188733e-12,1.4237183960961539e-273
-2.2272272272272273,0.05620867741130898,0.05391349788761235,0.019946063404645737,0.0039544803990861615,0.00034340670210609954,8.911145272569815e-06,3.8377121552559874e-08,1.1349543827284884e-11,5.734241988815105e-264
-2.2172172172172173,0.056397713047114884,0.05445588265067699,0.020397551291125193,0.004134383183638729,0.00037308853490703787,1.0335653950446308e-05,4.966865956730832e-08,1.7611932468098757e-11,1.1642679667618227e-254
-2.2072072072072073,0.05658781378858132,0.055003723955103834,0.020858206079516294,0.004321604219844727,0.0004051091473578021,1.1971911130016257e-05,6.409665543554545e-08,2.716867502854906e-11,1.2136318456537208e-245
-2.1971971971971973,0.05677898904956919,0.05555707669521452,0.02132818533379596,0.004516398177009647,0.00043963246433035896,1.3848818057954189e-05,8.247829758317817e-08,4.166639017586093e-11,6.612003708681469e-237
-2.1871871871871873,0.05697124836354672,0.056115996317582816,0.021807648562978753,0.0047190265752053715,0.0004768321942429713,1.5998830962175918e-05,1.0582880267501065e-07,6.353050186213667e-11,1.9158984240716698e-228
-2.1771771771771773,0.05716460138561704,0.05668053882659042,0.0222967572240205,0.004929757879751215,0.0005168922800361694,1.8458343275374284e-05,1.3540553484104624e-07,9.631204540924164e-11,3.0034164846027664e-220
-2.1671671671671673,0.05735905789458882,0.05725076079003865,0.0227956747239998,0.005148867592830171,0.0005600073612025216,2.1268101734529784e-05,1.727610109502221e-07,1.4517894970670586e-10,2.590031841633192e-212
-2.1571571571571573,0.05755462779509177,0.057826719344816646,0.023304566421553374,0.005376638341999313,0.0006063832464191958,2.4473658479555293e-05,2.198063670435387e-07,2.1760763389086888e-10,1.2488759046770405e-204
-2.1471471471471473,0.05775132111973774,0.0584084722026265,0.023823599627539705,0.005613359965346999,0.0006562373962656336,2.8125861305119168e-05,2.7888709491554417e-07,3.2435055102655274e-10,3.421170313104101e-197
-2.1371371371371373,0.05794914803132853,0.05899607765576607,0.024352943604905388,0.0058593295930430035,0.0007097994154392681,3.228138423776467e-05,3.528731175578099e-07,4.807814351865462e-10,5.407907888090898e-190
-2.1271271271271273,0.05814811882511196,0.059589594582969904,0.024892769567728467,0.006114851725022059,0.0007673115538101978,3.7003300614012705e-05,4.4526555896027225e-07,7.087542399942709e-10,5.008242089888973e-183
-2.1171171171171173,0.05834824393108739,0.06018908245530898,0.025443250679411816,0.006380238304535082,0.0008290292155812415,4.236170082247273e-05,5.60322878548762e-07,1.0391562920541376e-09,2.7579869908469937e-176
-2.1071071071071072,0.058549533916361855,0.060794601342149784,0.026004562050000127,0.006655808787296617,0.0008952214757429771,4.8434356842317506e-05,7.032093839200144e-07,1.5153937084847381e-09,9.16324802265451e-170
-2.0970970970970972,0.058751999487558215,0.0614062119171733,0.02657688073259256,0.006941890205951698,0.0009661716029343624,5.530743566000543e-05,8.801695076947514e-07,2.1981209000260046e-09,1.8629846770208206e-163
-2.0870870870870872,0.058955651493276987,0.06202397546445458,0.027160385718823944,0.007238817229579652,0.0010421775877385955,6.307626357407395e-05,1.0987316349087149e-06,3.171619907189817e-09,2.3500635679907404e-157
